player_name,age,minutes_played,field_goal_success,goal_success_3p,goal_success_2p,effective_field_goal,total_rebounds,assist,steal,blocking,points
Malcolm Brogdon,25,1436,0.485,0.385,0.532,0.547,156,152,41,13,625
Malcolm Delaney,28,1014,0.382,0.371,0.391,0.463,100,163,35,6,338
Malcolm Miller,24,126,0.464,0.381,0.714,0.607,15,3,1,2,38
Malik Beasley,21,583,0.41,0.341,0.469,0.489,71,31,15,7,196
Malik Monk,19,854,0.36,0.342,0.385,0.458,66,91,20,9,421
Manu Ginobili,40,1299,0.434,0.333,0.506,0.503,142,163,43,16,576
MarShon Brooks,29,193,0.5,0.594,0.457,0.593,21,25,11,3,141
Marc Gasol,33,2408,0.42,0.341,0.456,0.473,592,305,54,101,1258
Marco Belinelli,31,1298,0.448666667,0.378,0.525666667,0.547,100.6666667,98.66666667,44,8,647.3333333
Marcus Georges-Hunt,23,224,0.438,0.267,0.515,0.479,16,7,6,0,59
Marcus Morris,28,1447,0.429,0.368,0.467,0.499,289,72,35,12,734
Marcus Paige,24,28,0.286,0.25,0.333,0.357,4,3,0,0,12
Marcus Smart,23,1614,0.367,0.301,0.429,0.44,189,259,71,23,550
Mario Chalmers,31,1421,0.379,0.277,0.456,0.439,157,197,79,14,507
Mario Hezonja,22,1657,0.442,0.337,0.523,0.515,281,106,81,31,722
Markelle Fultz,19,253,0.405,0,0.409,0.405,43,53,12,4,100
Markieff Morris,28,1968,0.48,0.367,0.529,0.536,409,142,56,38,841
Marquese Chriss,20,1527,0.423,0.295,0.509,0.482,395,83,51,70,556
Marquis Teague,24,74,0.25,0.25,0.25,0.281,6,13,4,0,11
Marreese Speights,30,675,0.395,0.369,0.448,0.519,133,40,8,22,402
Marvin Williams,31,2006,0.458,0.413,0.512,0.57,370,96,56,38,744
Mason Plumlee,27,1439,0.601,0,0.602,0.601,400,142,49,81,524
Matthew Dellavedova,27,712,0.362,0.372,0.351,0.457,64,145,14,0,164
Maurice Harkless,24,1264,0.495,0.415,0.547,0.577,162,53,48,43,385
Maxi Kleber,26,1206,0.489,0.313,0.613,0.553,234,51,26,47,386
Meyers Leonard,25,254,0.59,0.423,0.673,0.66,70,17,7,0,112
Michael Beasley,29,1653,0.507,0.395,0.52,0.528,414,123,36,43,976
Michael Carter-Williams,26,835,0.332,0.237,0.365,0.362,138,116,44,23,239
Michael Kidd-Gilchrist,24,1850,0.504,0,0.505,0.504,302,71,51,32,681
Mike Conley,30,373,0.381,0.312,0.44,0.452,27,49,12,3,205
Mike James,27,678,0.3855,0.2665,0.4385,0.4265,89.5,123,27.5,7,334
Mike Muscala,26,1060,0.458,0.371,0.559,0.558,230,51,31,27,405
Mike Scott,29,1406,0.527,0.405,0.582,0.59,247,80,23,10,668
Milos Teodosic,30,1134,0.419,0.379,0.492,0.542,126,209,23,5,429
Milton Doyle,24,125,0.277,0.174,0.375,0.319,18,10,6,2,34
Monte Morris,22,25,0.667,0,0.8,0.667,2,7,3,0,10
Montrezl Harrell,24,1293,0.635,0.143,0.641,0.636,306,74,36,52,836
Myke Henry,25,378,0.376,0.328,0.431,0.463,38,22,31,6,107
Myles Turner,21,1836,0.479,0.357,0.519,0.523,417,87,38,118,828
Nemanja Bjelica,29,1371,0.461,0.415,0.505,0.563,274,86,50,16,454
Nene Hilario,35,758,0.569,0,0.574,0.569,176,45,28,14,340
Nerlens Noel,23,472,0.524,0,0.529,0.524,168,20,31,22,131
Nick Young,32,1393,0.412,0.377,0.481,0.538,125,36,38,7,581
Nicolas Batum,29,1981,0.415,0.336,0.473,0.486,306,349,65,23,740
Nigel Hayes,23,79.33333333,0.317333333,0.139,0.595666667,0.349333333,14.66666667,4,1.333333333,2,16
Nik Stauskas,24,348.6666667,0.344333333,0.268,0.358666667,0.432,42.66666667,26,6,2.666666667,120.6666667
Nikola Jokic,22,2443,0.499,0.396,0.538,0.554,803,458,90,61,1385
Nikola Mirotic,26,996,0.449333333,0.380333333,0.524666667,0.549,270,53.33333333,29.33333333,26,572.6666667
Nikola Vucevic,27,1683,0.475,0.314,0.527,0.513,523,191,56,62,939
Noah Vonleh,22,583.3333333,0.449,0.312,0.5,0.488333333,207.3333333,22.66666667,12.66666667,11.33333333,176
Norman Powell,24,1062,0.401,0.285,0.516,0.472,119,89,37,16,385
OG Anunoby,20,1481,0.471,0.371,0.604,0.577,184,55,52,14,438
Okaro White,25,80,0.438,0.364,0.6,0.563,11,2,1,1,20
Omri Casspi,29,740,0.58,0.455,0.595,0.604,200,51,18,19,300
Otto Porter,24,2432,0.503,0.441,0.537,0.581,492,157,116,41,1134
P.J. Tucker,32,2281,0.39,0.371,0.435,0.52,457,77,78,26,502
Pascal Siakam,23,1679,0.508,0.22,0.612,0.537,364,159,62,42,589
Pat Connaughton,25,1488,0.423,0.352,0.506,0.518,161,91,23,22,441
Patrick Beverley,29,334,0.403,0.4,0.407,0.504,45,32,19,5,134
Patrick McCaw,22,961,0.409,0.238,0.503,0.451,82,81,43,10,229
Patrick Patterson,28,1270,0.398,0.386,0.421,0.523,193,57,48,23,318
Patty Mills,29,2107,0.411,0.372,0.47,0.523,154,229,55,11,819
Pau Gasol,37,1812,0.458,0.358,0.481,0.492,619,238,24,79,775
Paul George,27,2891,0.43,0.401,0.454,0.521,447,263,161,39,1734
Paul Millsap,32,1143,0.464,0.345,0.506,0.509,245,105,39,44,555
Paul Zipser,23,824,0.346,0.336,0.355,0.425,131,46,20,15,218
Quincy Acy,27,1359,0.356,0.349,0.384,0.496,257,57,33,29,411
Quincy Pondexter,29,196,0.286,0.136,0.407,0.316,27,9,8,2,45
Quinn Cook,24,740,0.484,0.442,0.514,0.575,82,89,12,1,312
R.J. Hunter,24,45,0.35,0.214,0.667,0.425,5,3,3,0,19
Rajon Rondo,31,1705,0.468,0.333,0.526,0.518,263,533,70,10,537
Ramon Sessions,31,261.3333333,0.357,0.296666667,0.373,0.390333333,25.33333333,51.33333333,9.333333333,1.333333333,90.66666667
Rashad Vaughn,21,192.5,0.4155,0.3745,0.5035,0.543,19,12.5,4.5,3,61.5
Raul Neto,25,498,0.457,0.404,0.481,0.52,49,75,13,4,183
Raymond Felton,33,1365,0.406,0.352,0.444,0.479,156,203,49,16,565
Reggie Bullock,26,1732,0.489,0.445,0.536,0.603,154,95,47,13,698
Reggie Jackson,27,1201,0.426,0.308,0.475,0.471,125,238,27,4,656
Richard Jefferson,37,163,0.444,0.286,0.5,0.481,17,15,2,1,30
Richaun Holmes,24,746,0.56,0.129,0.624,0.568,211,61,20,29,311
Ricky Rubio,27,2254,0.418,0.352,0.451,0.476,351,410,121,11,1008
Robert Covington,27,2532,0.413,0.369,0.497,0.534,433,156,137,72,1009
Robin Lopez,29,1690,0.53,0.286,0.536,0.533,290,124,14,53,756
Rodney Hood,25,1077.333333,0.431666667,0.374,0.471333333,0.511333333,110,63.33333333,30,8,588
Rodney McGruder,26,299,0.493,0.429,0.553,0.596,32,17,8,3,91
Rodney Purvis,23,290,0.327,0.25,0.4,0.388,27,17,3,3,96
