player_name,age,minutes_played,field_goal_success,goal_success_3p,goal_success_2p,effective_field_goal,total_rebounds,assist,steal,blocking,points
Cody Zeller,25,627,0.545,0.667,0.542,0.551,177,31,14,21,233
Corey Brewer,31,805.3333333,0.448666667,0.270333333,0.538,0.499666667,102.6666667,43.33333333,52.66666667,9.333333333,253.3333333
Cory Joseph,26,2210,0.424,0.353,0.457,0.479,263,260,80,18,649
Courtney Lee,32,2310,0.454,0.406,0.482,0.529,224,180,80,17,913
Cristiano Felicio,25,977,0.591,0,0.596,0.591,233,55,16,11,308
D'Angelo Russell,21,1234,0.414,0.324,0.477,0.481,189,249,36,17,743
D.J. Augustin,30,1760,0.452,0.419,0.485,0.557,160,287,54,0,766
D.J. Wilson,21,71,0.563,0.4,0.636,0.625,10,3,3,1,21
Damian Lillard,27,2670,0.439,0.361,0.501,0.519,325,481,77,27,1962
Damien Wilkins,38,152,0.333,0.222,0.429,0.385,16,9,2,1,33
Damion Lee,25,404,0.408,0.25,0.511,0.457,71,29,19,1,161
Damyean Dotson,23,474,0.447,0.324,0.538,0.516,84,31,12,2,182
Daniel Theis,25,936,0.541,0.31,0.617,0.579,274,56,30,48,331
Danilo Gallinari,29,671,0.398,0.324,0.455,0.469,101,41,12,10,321
Danny Green,30,1791,0.387,0.363,0.419,0.49,249,110,63,80,600
Dante Cunningham,30,1041.333333,0.453,0.350666667,0.54,0.532666667,198.6666667,32,26,20,278
Dante Exum,22,235,0.483,0.278,0.536,0.511,26,43,8,3,114
Danuel House,24,403,0.434,0.259,0.577,0.492,76,25,7,6,152
Dario Saric,23,2310,0.453,0.393,0.501,0.541,520,202,51,20,1141
Darius Miller,27,1944,0.444,0.411,0.535,0.594,164,111,28,17,637
Darrell Arthur,29,141,0.468,0.348,0.583,0.553,15,9,8,3,54
Darren Collison,30,2018,0.495,0.468,0.508,0.571,178,368,92,15,855
Darrun Hilliard,24,95,0.263,0,0.385,0.263,7,11,2,0,16
David Nwaba,25,1646,0.478,0.346,0.496,0.499,326,104,59,29,555
David West,37,999,0.571,0.375,0.576,0.575,238,138,47,75,495
Davis Bertans,25,1086,0.44,0.373,0.588,0.568,153,74,26,28,456
Davon Reed,22,242,0.289,0.289,0.289,0.362,39,13,10,2,63
De'Aaron Fox,20,2026,0.412,0.307,0.436,0.441,204,320,70,20,844
DeAndre Liggins,29,602,0.3575,0.332,0.3875,0.445,62,37.5,32,12,79
DeAndre' Bembry,23,455,0.414,0.367,0.429,0.457,72,49,21,12,136
DeMar DeRozan,28,2711,0.456,0.31,0.494,0.488,315,417,85,22,1840
DeMarcus Cousins,27,1737,0.47,0.354,0.53,0.53,617,257,79,76,1210
DeMarre Carroll,31,2180,0.414,0.371,0.457,0.506,479,147,59,30,983
Dejounte Murray,21,1743,0.443,0.265,0.454,0.451,459,231,97,31,654
Delon Wright,25,1433,0.465,0.366,0.52,0.53,198,200,72,33,555
Demetrius Jackson,23,48.5,0.5695,0.5715,0.606,0.646,6.5,6.5,3,0.5,12
Dennis Schroder,24,2078,0.436,0.29,0.48,0.469,208,417,72,6,1301
Dennis Smith,20,2049,0.395,0.313,0.435,0.446,260,358,71,18,1048
Denzel Valentine,24,2095,0.417,0.386,0.45,0.517,393,244,65,11,783
Derrick Favors,26,2153,0.563,0.222,0.596,0.573,552,102,54,82,944
Derrick Jones,20,163.3333333,0.428,0.118333333,0.666333333,0.447666667,25.33333333,6,2.666666667,8.666666667,40.66666667
Derrick Rose,29,280,0.433333333,0.216666667,0.471,0.450333333,23.33333333,24.66666667,4.666666667,2.666666667,139.3333333
Derrick Walton,22,147,0.32,0.412,0.125,0.46,16,16,7,3,29
Derrick White,23,139,0.485,0.615,0.4,0.606,26,9,4,3,54
Devin Booker,21,1865,0.432,0.383,0.46,0.501,244,253,47,14,1346
Devin Harris,34,893.3333333,0.411,0.347666667,0.480333333,0.500333333,84.66666667,101.3333333,31.33333333,8,396.6666667
Dewayne Dedmon,28,1542,0.524,0.355,0.595,0.577,489,90,40,51,617
Dillon Brooks,22,2350,0.44,0.356,0.484,0.501,257,135,73,17,898
Dion Waiters,26,918,0.398,0.306,0.463,0.461,77,113,23,9,429
Dirk Nowitzki,39,1900,0.456,0.409,0.494,0.547,438,120,43,45,927
Domantas Sabonis,21,1810,0.514,0.351,0.524,0.524,572,151,40,32,861
Donovan Mitchell,21,2638,0.437,0.34,0.502,0.506,296,291,118,27,1616
Dorian Finney-Smith,24,448,0.38,0.299,0.481,0.463,75,26,10,4,123
Doug McDermott,26,1178.666667,0.468333333,0.435666667,0.491666667,0.561333333,133.3333333,52.66666667,12.66666667,10.66666667,420
Dragan Bender,20,2069,0.386,0.366,0.426,0.508,361,130,22,53,531
Draymond Green,27,2287,0.454,0.301,0.562,0.516,535,508,95,91,773
Dwayne Bacon,22,713,0.375,0.256,0.409,0.404,124,38,16,2,175
Dwight Buycks,28,427,0.414,0.333,0.438,0.452,41,59,19,2,215
Dwight Howard,32,2463,0.555,0.143,0.559,0.556,1012,105,48,131,1347
Dwight Powell,26,1672,0.593,0.333,0.656,0.626,444,91,67,32,671
Dwyane Wade,36,1024,0.434,0.279,0.464666667,0.457,168,152,40.66666667,31.33333333,510
E'Twaun Moore,28,2586,0.508,0.425,0.556,0.585,238,187,79,12,1022
Ed Davis,28,1471,0.582,0,0.584,0.582,575,40,32,52,414
Ekpe Udoh,30,810,0.5,0,0.504,0.5,150,53,43,74,162
Elfrid Payton,23,1205.333333,0.482666667,0.299666667,0.510666667,0.503333333,182.6666667,262,55.33333333,14.66666667,531.3333333
Emmanuel Mudiay,21,830,0.385666667,0.295666667,0.415666667,0.427666667,101.3333333,137.3333333,27.33333333,7.333333333,368.6666667
Enes Kanter,25,1830,0.592,0,0.594,0.592,780,105,36,37,1000
Eric Bledsoe,28,1548,0.449666667,0.334666667,0.513,0.508666667,189.3333333,246.6666667,99.33333333,28,875.3333333
Eric Gordon,29,2154,0.428,0.359,0.544,0.54,170,154,44,27,1243
Ersan Ilyasova,30,1152.666667,0.45,0.36,0.512333333,0.523333333,270,60,40.66666667,17.33333333,500
Evan Fournier,25,1837,0.459,0.379,0.516,0.538,180,165,47,16,1013
Evan Turner,29,2034,0.447,0.318,0.485,0.484,244,173,47,29,649
Frank Kaminsky,24,1835,0.429,0.38,0.459,0.501,288,129,36,19,873
Frank Mason,23,984,0.379,0.36,0.384,0.42,130,147,34,10,413
Frank Ntilikina,19,1706,0.364,0.318,0.385,0.414,177,250,65,18,463
Fred VanVleet,23,1520,0.426,0.414,0.437,0.525,184,243,68,19,656
Furkan Korkmaz,20,80,0.286,0.294,0.273,0.375,11,4,2,1,23
Garrett Temple,31,1615,0.418,0.392,0.442,0.512,152,124,57,27,547
Gary Harris,23,2304,0.485,0.396,0.553,0.57,176,194,122,15,1170
Gary Payton,25,147.3333333,0.404666667,0.238333333,0.492666667,0.444333333,29.33333333,14,4.666666667,2,46
George Hill,31,1208,0.457666667,0.406333333,0.493,0.539,120.6666667,124,40.66666667,18,444.6666667
Georges Niang,24,32,0.364,0,0.571,0.364,9,3,2,0,9
Gerald Green,32,929,0.407,0.369,0.504,0.54,133,25,24,15,497
Gian Clavell,24,64,0.333,0.4,0,0.5,7,3,2,0,20
Giannis Antetokounmpo,23,2756,0.529,0.307,0.554,0.545,753,361,109,106,2014
Glenn Robinson,24,338,0.424,0.412,0.431,0.506,37,17,13,1,95
Goran Dragic,31,2378,0.45,0.37,0.481,0.502,307,359,63,12,1296
Gorgui Dieng,28,1333,0.479,0.311,0.511,0.504,360,71,45,39,470
Guerschon Yabusele,22,235,0.426,0.324,0.583,0.525,52,16,4,5,79
Harrison Barnes,25,2634,0.445,0.357,0.478,0.494,468,152,49,14,1452
Hassan Whiteside,28,1364,0.54,1,0.538,0.542,618,54,37,94,754
Henry Ellenson,21,329,0.363,0.333,0.384,0.432,81,20,5,0,151
Ian Clark,26,1455,0.448,0.318,0.533,0.511,127,110,33,10,551
Ian Mahinmi,31,1145,0.556,0,0.561,0.556,312,53,38,42,366
Iman Shumpert,27,276,0.379,0.269,0.469,0.44,41,17,9,4,62
Isaiah Canaan,26,420,0.381,0.333,0.426,0.4615,44.5,76,16,1,172
Isaiah Hicks,23,240,0.458,0.222,0.492,0.472,41,16,2,4,80
Isaiah Taylor,23,1167,0.418,0.25,0.461,0.444,94,206,34,10,445
Isaiah Thomas,28,574.6666667,0.372333333,0.291,0.438666667,0.437333333,44.66666667,102,10,2,324
Isaiah Whitehead,22,180,0.465,0.389,0.485,0.506,26,20,8,2,100
Ish Smith,29,2043,0.486,0.347,0.506,0.507,224,360,64,20,894
Ivica Zubac,20,410,0.5,0,0.504,0.5,123,25,8,15,161
J.J. Barea,33,1603,0.439,0.367,0.499,0.522,201,434,35,3,801
J.J. Redick,33,2116,0.46,0.42,0.504,0.569,178,210,35,6,1198
J.R. Smith,32,2244,0.403,0.375,0.453,0.524,235,141,68,11,662
JaKarr Sampson,24,344,0.543,0.5,0.549,0.574,78,9,8,22,103
JaMychal Green,27,1542,0.457,0.339,0.499,0.501,464,79,32,25,569
JaVale McGee,30,615,0.621,0,0.638,0.621,169,33,21,57,310
Jabari Bird,23,115,0.577,0.429,0.632,0.635,19,8,3,1,39
Jabari Parker,22,743,0.482,0.383,0.514,0.529,151,59,25,10,391
Jacob Wiley,23,33,0.25,0.5,0,0.375,11,2,1,0,4
Jae Crowder,27,1393.333333,0.402666667,0.322333333,0.486,0.484666667,183.3333333,66,42.66666667,14,515.3333333
Jahlil Okafor,22,340.5,0.562,0.25,0.5715,0.566,80.5,11.5,3,17,171
Jake Layman,23,160,0.298,0.2,0.37,0.34,16,11,6,4,34
Jakob Poeltl,22,1524,0.659,0.5,0.66,0.66,393,57,39,100,567
Jalen Jones,24,120.6666667,0.341,0.581666667,0.263666667,0.430666667,25.33333333,2.666666667,3.333333333,0.666666667,49.33333333
Jamal Crawford,37,1653,0.415,0.331,0.477,0.485,99,185,40,9,822
Jamal Murray,20,2565,0.451,0.378,0.502,0.529,297,274,79,28,1352
Jameer Nelson,35,675.3333333,0.360333333,0.255333333,0.437666667,0.425,69.33333333,119.3333333,18,2.666666667,164.6666667
Jamel Artis,25,279,0.392,0.276,0.46,0.443,38,18,2,3,77
James Ennis,27,1069.333333,0.472333333,0.331333333,0.567333333,0.538666667,149.3333333,47.33333333,31.33333333,12,341.3333333
James Harden,28,2551,0.449,0.367,0.531,0.541,389,630,126,50,2191
James Johnson,30,1943,0.503,0.308,0.587,0.55,358,280,70,51,788
James Young,22,61,0.357,0.3,0.5,0.464,2,2,0,0,17
Jamil Wilson,27,274,0.469,0.429,0.611,0.636,32,10,5,8,105
Jared Dudley,32,686,0.393,0.363,0.452,0.512,94,78,24,11,152
Jarell Martin,23,1661,0.446,0.347,0.47,0.48,318,73,39,49,565
Jarrett Allen,19,1441,0.589,0.333,0.599,0.596,388,49,28,88,587
Jarrett Jack,34,1548,0.427,0.291,0.459,0.455,191,348,35,4,466
Jason Smith,31,285,0.391,0.125,0.494,0.409,53,14,3,13,113
Jason Terry,40,814,0.383,0.348,0.487,0.513,48,59,42,13,166
Jawun Evans,21,778,0.352,0.278,0.372,0.381,84,100,36,6,231
Jaylen Brown,21,2152,0.465,0.395,0.507,0.54,346,114,70,26,1017
Jayson Tatum,19,2438,0.475,0.434,0.492,0.538,402,128,83,58,1112
Jeff Green,31,1828,0.477,0.312,0.54,0.52,246,99,41,34,846
Jeff Teague,29,2311,0.446,0.368,0.477,0.499,209,492,102,23,994
Jeff Withey,27,39,0.375,0.2,0.667,0.438,10,0,0,3,15
Jerami Grant,23,1647,0.535,0.291,0.613,0.57,319,57,31,77,682
Jeremy Lamb,25,1967,0.457,0.37,0.495,0.513,324,186,61,32,1033
Jeremy Lin,29,25,0.417,0.5,0.4,0.458,0,4,0,0,18
Jerian Grant,25,1686,0.416,0.326,0.468,0.476,172,342,63,8,619
Jerryd Bayless,29,925,0.416,0.37,0.474,0.519,80,54,23,6,307
Jimmy Butler,28,2164,0.474,0.35,0.509,0.512,314,288,116,24,1307
Jodie Meeks,30,1119,0.399,0.343,0.464,0.491,126,70,29,4,487
Joe Harris,26,1975,0.491,0.419,0.589,0.612,260,128,35,20,846
Joe Ingles,30,2578,0.467,0.44,0.516,0.609,344,392,90,20,940
Joe Johnson,36,803.3333333,0.402333333,0.276333333,0.488666667,0.458666667,114.6666667,55.33333333,12,4.666666667,248
